,Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
60,EU,Europe,BEL,Belgium,2012,All,Age_all,All,2632.0,2.41299644,10.10303606,23.7227182
61,EU,Europe,BEL,Belgium,2013,All,Age_all,All,2946.0,2.69449577,11.05179545,26.35431289
62,EU,Europe,BEL,Belgium,2014,All,Age_all,All,2553.0,2.43711517,9.11810953,22.73925045
63,EU,Europe,BEL,Belgium,2018,All,Age_all,All,2500.0,2.25849873,8.0448222,21.87787804
64,EU,Europe,BEL,Belgium,2017,All,Age_all,All,2404.0,2.19211059,8.04498325,21.13375381
65,EU,Europe,BEL,Belgium,2016,All,Age_all,All,2154.0,1.99265475,7.59441213,18.97419712
66,EU,Europe,BEL,Belgium,2015,All,Age_all,All,2397.0,2.16842619,8.36283941,21.27672039
67,EU,Europe,BEL,Belgium,2020,All,Age_all,All,1950.0,1.53669146,6.09952971,16.89977084
68,EU,Europe,BEL,Belgium,2019,All,Age_all,All,2396.0,2.20220588,7.7843217,20.85474695
69,CSA,Central and South America,BRA,Brazil,2010,All,Age_all,All,50483.0,4.44022847,27.99362492,25.79431934
70,CSA,Central and South America,BRA,Brazil,2011,All,Age_all,All,50852.0,4.3444756,27.30585992,25.7459532
71,CSA,Central and South America,BRA,Brazil,2012,All,Age_all,All,51124.0,4.32826546,26.69628838,25.65341608
72,CSA,Central and South America,BRA,Brazil,2013,All,Age_all,All,53667.0,4.43355248,27.23079139,26.69523045
73,CSA,Central and South America,BRA,Brazil,2014,All,Age_all,All,53720.0,4.37801895,26.47039781,26.49388903
74,CSA,Central and South America,BRA,Brazil,2020,All,Age_all,All,55698.0,3.57766838,22.90993206,26.20349679
75,CSA,Central and South America,BRA,Brazil,2019,All,Age_all,All,58182.0,4.31041316,24.20869572,27.68631738
76,CSA,Central and South America,BRA,Brazil,2018,All,Age_all,All,56244.0,4.27152642,24.58446086,26.85070978
77,CSA,Central and South America,BRA,Brazil,2017,All,Age_all,All,56381.0,4.29515855,25.370431,27.12792325
78,CSA,Central and South America,BRA,Brazil,2016,All,Age_all,All,58743.0,4.48497222,27.25944996,28.49346629
79,CSA,Central and South America,BRA,Brazil,2015,All,Age_all,All,56491.0,4.46860601,27.04863614,27.62777486
80,AS,Asia,BRN,Brunei Darussalam,2010,All,Age_all,All,64.0,5.29801325,27.60650365,15.44401544
81,AS,Asia,BRN,Brunei Darussalam,2011,All,Age_all,All,60.0,4.8582996,23.67907513,14.19446416
82,AS,Asia,BRN,Brunei Darussalam,2012,All,Age_all,All,59.0,4.85197368,25.96372102,14.75737869
83,AS,Asia,BRN,Brunei Darussalam,2013,All,Age_all,All,77.0,5.5,31.46580656,19.03956521
84,AS,Asia,BRN,Brunei Darussalam,2014,All,Age_all,All,86.0,5.85034014,33.97251438,20.98743438
85,AS,Asia,BRN,Brunei Darussalam,2019,All,Age_all,All,97.0,5.52077405,30.4099961,22.38711241
86,AS,Asia,BRN,Brunei Darussalam,2018,All,Age_all,All,91.0,5.64516129,31.87397023,20.56962025
87,AS,Asia,BRN,Brunei Darussalam,2017,All,Age_all,All,105.0,6.19103774,35.60365206,24.44703143
88,AS,Asia,BRN,Brunei Darussalam,2016,All,Age_all,All,116.0,7.10784314,32.46782458,27.44405907
89,AS,Asia,BRN,Brunei Darussalam,2015,All,Age_all,All,93.0,6.01163542,36.11486504,22.4146616
90,EU,Europe,BGR,Bulgaria,2010,All,Age_all,All,664.0,0.60273227,6.42253562,8.81304128
91,EU,Europe,BGR,Bulgaria,2011,All,Age_all,All,577.0,0.53298601,5.41020882,7.78042639
92,EU,Europe,BGR,Bulgaria,2012,All,Age_all,All,690.0,0.63139979,6.52907871,9.44443714
93,EU,Europe,BGR,Bulgaria,2013,All,Age_all,All,571.0,0.54722315,5.56509807,7.85947642
94,EU,Europe,BGR,Bulgaria,2014,All,Age_all,All,505.0,0.46350687,4.77033304,6.99064741
95,EU,Europe,BGR,Bulgaria,2020,All,Age_all,All,463.0,0.37118692,3.98428793,6.67722813
96,EU,Europe,BGR,Bulgaria,2019,All,Age_all,All,501.0,0.46353266,4.3029927,7.18201263
97,EU,Europe,BGR,Bulgaria,2018,All,Age_all,All,667.0,0.61459927,5.70334207,9.49461191
98,EU,Europe,BGR,Bulgaria,2017,All,Age_all,All,771.0,0.70224335,6.6189987,10.89606805
99,EU,Europe,BGR,Bulgaria,2016,All,Age_all,All,740.0,0.6878602,6.50762111,10.38185297
100,EU,Europe,BGR,Bulgaria,2015,All,Age_all,All,662.0,0.60117875,6.08741973,9.22263625
101,EU,Europe,BGR,Bulgaria,2021,All,Age_all,All,501.0,0.33625289,4.56688802,7.28436693
102,NAC,North America and the Caribbean,CAN,Canada,2010,All,Age_all,All,5435.0,2.26387587,8.58883576,15.91621587
103,NAC,North America and the Caribbean,CAN,Canada,2011,All,Age_all,All,5679.0,2.34597685,8.55288618,16.44220695
104,NAC,North America and the Caribbean,CAN,Canada,2012,All,Age_all,All,5875.0,2.38243929,8.58780377,16.82319155
105,NAC,North America and the Caribbean,CAN,Canada,2013,All,Age_all,All,5010.0,1.98543224,7.26306702,14.19403064
106,NAC,North America and the Caribbean,CAN,Canada,2014,All,Age_all,All,5014.0,1.9372462,7.03242078,14.05886222
107,NAC,North America and the Caribbean,CAN,Canada,2017,All,Age_all,All,4419.0,1.59709999,5.6364456,12.03035111
108,NAC,North America and the Caribbean,CAN,Canada,2016,All,Age_all,All,4297.0,1.60808045,5.65376312,11.81047911
109,NAC,North America and the Caribbean,CAN,Canada,2015,All,Age_all,All,5077.0,1.92068338,6.91360977,14.09233536
110,NAC,North America and the Caribbean,CAN,Canada,2022,All,Age_all,All,4979.0,1.49035713,5.6296646,12.97005745
111,NAC,North America and the Caribbean,CAN,Canada,2021,All,Age_all,All,4408.0,1.41445257,5.14558288,11.57930869
112,NAC,North America and the Caribbean,CAN,Canada,2020,All,Age_all,All,4623.0,1.49896891,5.45950114,12.24890344
113,NAC,North America and the Caribbean,CAN,Canada,2019,All,Age_all,All,4553.0,1.59585841,5.59104627,12.17020203
114,NAC,North America and the Caribbean,CAN,Canada,2018,All,Age_all,All,4774.0,1.67096015,6.00199181,12.87675361
115,CSA,Central and South America,CHL,Chile,2010,All,Age_all,All,2067.0,2.11069131,10.65588317,12.11426016
116,CSA,Central and South America,CHL,Chile,2011,All,Age_all,All,1997.0,2.10243723,9.9702786,11.58784457
117,CSA,Central and South America,CHL,Chile,2012,All,Age_all,All,2262.0,2.29153792,10.91429974,12.99974075
118,CSA,Central and South America,CHL,Chile,2013,All,Age_all,All,2604.0,2.61002917,12.05077256,14.81944605
119,CSA,Central and South America,CHL,Chile,2014,All,Age_all,All,2698.0,2.64613574,12.20919409,15.19233194
120,CSA,Central and South America,CHL,Chile,2020,All,Age_all,All,2176.0,1.72467088,8.23081537,11.38301486
121,CSA,Central and South America,CHL,Chile,2019,All,Age_all,All,2669.0,2.43393095,10.41228171,14.08291815
122,CSA,Central and South America,CHL,Chile,2018,All,Age_all,All,2397.0,2.24446608,9.56530739,12.7982248
123,CSA,Central and South America,CHL,Chile,2017,All,Age_all,All,2417.0,2.27187277,9.95144277,13.08577452
124,CSA,Central and South America,CHL,Chile,2016,All,Age_all,All,2375.0,2.28308308,10.14903487,13.04295201
125,CSA,Central and South America,CHL,Chile,2015,All,Age_all,All,2663.0,2.57725473,11.55636095,14.81967659
126,CSA,Central and South America,CHL,Chile,2021,All,Age_all,All,2493.0,1.81139149,9.16468541,12.97602101
127,CSA,Central and South America,COL,Colombia,2010,All,Age_all,All,6684.0,3.33330009,16.02611825,14.78018783
128,CSA,Central and South America,COL,Colombia,2011,All,Age_all,All,6239.0,3.18604045,14.63763045,13.66321624
129,CSA,Central and South America,COL,Colombia,2012,All,Age_all,All,6514.0,3.26097839,14.98665722,14.13759846
130,CSA,Central and South America,COL,Colombia,2013,All,Age_all,All,6763.0,3.33036229,15.16442045,14.54549584
131,CSA,Central and South America,COL,Colombia,2014,All,Age_all,All,6536.0,3.11162527,14.2920777,13.91594768
132,CSA,Central and South America,COL,Colombia,2020,All,Age_all,All,6702.0,2.227666,12.36558846,13.17142141
133,CSA,Central and South America,COL,Colombia,2019,All,Age_all,All,7436.0,3.0431135,14.14762729,14.77171688
134,CSA,Central and South America,COL,Colombia,2018,All,Age_all,All,7032.0,2.96794017,13.71414784,14.15999115
135,CSA,Central and South America,COL,Colombia,2017,All,Age_all,All,6512.0,2.86085826,13.03803954,13.31429449
136,CSA,Central and South America,COL,Colombia,2016,All,Age_all,All,7061.0,3.16526058,14.57403161,14.65696394
137,CSA,Central and South America,COL,Colombia,2015,All,Age_all,All,6651.0,3.03045491,14.12945884,13.99601567
138,CSA,Central and South America,COL,Colombia,2021,All,Age_all,All,7636.0,2.10306564,13.82119783,14.89490742
139,CSA,Central and South America,CRI,Costa Rica,2010,All,Age_all,All,425.0,2.23825574,9.55970466,9.28479142
140,CSA,Central and South America,CRI,Costa Rica,2011,All,Age_all,All,412.0,2.23209448,9.02383707,8.89256103
141,CSA,Central and South America,CRI,Costa Rica,2012,All,Age_all,All,398.0,2.10437265,8.39940502,8.48976109
142,CSA,Central and South America,CRI,Costa Rica,2013,All,Age_all,All,407.0,2.10172993,8.24591414,8.58268276
143,CSA,Central and South America,CRI,Costa Rica,2014,All,Age_all,All,418.0,2.06012814,8.2900499,8.7166941
144,CSA,Central and South America,CRI,Costa Rica,2020,All,Age_all,All,448.0,1.72334205,7.65311579,8.79445667
145,CSA,Central and South America,CRI,Costa Rica,2019,All,Age_all,All,549.0,2.26000329,10.08421673,10.85407719
146,CSA,Central and South America,CRI,Costa Rica,2018,All,Age_all,All,514.0,2.18667574,9.14618044,10.28114943
147,CSA,Central and South America,CRI,Costa Rica,2017,All,Age_all,All,482.0,2.09939457,8.69081157,9.73746423
148,CSA,Central and South America,CRI,Costa Rica,2016,All,Age_all,All,474.0,2.12137487,8.91407855,9.67476265
149,CSA,Central and South America,CRI,Costa Rica,2015,All,Age_all,All,456.0,2.19621442,8.72605281,9.40632088
150,EU,Europe,HRV,Croatia,2010,All,Age_all,All,372.0,0.71406634,4.76361379,8.420517
151,EU,Europe,HRV,Croatia,2011,All,Age_all,All,306.0,0.59977655,3.86848704,6.95014159
152,EU,Europe,HRV,Croatia,2012,All,Age_all,All,318.0,0.61496809,4.20253191,7.45156832
153,EU,Europe,HRV,Croatia,2013,All,Age_all,All,330.0,0.65494383,3.85819161,7.75432603
154,EU,Europe,HRV,Croatia,2014,All,Age_all,All,361.0,0.71008478,4.36014695,8.51738715
155,EU,Europe,HRV,Croatia,2020,All,Age_all,All,167.0,0.29286428,2.06003676,4.12582022
156,EU,Europe,HRV,Croatia,2019,All,Age_all,All,209.0,0.40352164,2.68438965,5.14113144
157,EU,Europe,HRV,Croatia,2017,All,Age_all,All,637.0,1.1911663,6.76731586,15.4441802
158,EU,Europe,HRV,Croatia,2016,All,Age_all,All,482.0,0.93515968,5.64708216,11.54671064
159,EU,Europe,HRV,Croatia,2015,All,Age_all,All,403.0,0.74347385,4.78411795,9.58701153
160,EU,Europe,HRV,Croatia,2021,All,Age_all,All,189.0,0.30137773,2.11607622,4.87241366
161,EU,Europe,HRV,Croatia,2018,All,Age_all,All,314.0,0.5957576,3.51020437,7.55460548
162,NAC,North America and the Caribbean,CUB,Cuba,2010,All,Age_all,All,998.0,1.0959205,7.2331001,8.89020965
163,NAC,North America and the Caribbean,CUB,Cuba,2011,All,Age_all,All,992.0,1.13965351,7.19050201,8.82823747
164,NAC,North America and the Caribbean,CUB,Cuba,2012,All,Age_all,All,1098.0,1.22857271,7.81856368,9.75384077
165,NAC,North America and the Caribbean,CUB,Cuba,2013,All,Age_all,All,1251.0,1.35575954,8.74803681,11.08774894
166,NAC,North America and the Caribbean,CUB,Cuba,2014,All,Age_all,All,1296.0,1.34537527,8.88343903,11.46202356
167,NAC,North America and the Caribbean,CUB,Cuba,2020,All,Age_all,All,1158.0,1.02980018,7.72230387,10.22370671
168,NAC,North America and the Caribbean,CUB,Cuba,2019,All,Age_all,All,1228.0,1.12568637,8.63499557,10.83515103
169,NAC,North America and the Caribbean,CUB,Cuba,2018,All,Age_all,All,1194.0,1.12433613,8.24380224,10.53083338
170,NAC,North America and the Caribbean,CUB,Cuba,2017,All,Age_all,All,1184.0,1.10706972,8.080644,10.44160401
171,NAC,North America and the Caribbean,CUB,Cuba,2016,All,Age_all,All,1200.0,1.20738922,8.54239753,10.5865813
172,NAC,North America and the Caribbean,CUB,Cuba,2015,All,Age_all,All,1188.0,1.1916823,8.28764377,10.49026908
173,NAC,North America and the Caribbean,CUB,Cuba,2021,All,Age_all,All,1343.0,0.80095423,9.04296289,11.86657307
174,AS,Asia,CYP,Cyprus,2010,All,Age_all,All,63.0,1.23650638,4.61539994,7.54984697
175,AS,Asia,CYP,Cyprus,2011,All,Age_all,All,85.0,1.61966463,6.08629619,10.01220311
176,AS,Asia,CYP,Cyprus,2012,All,Age_all,All,87.0,1.58181818,6.18059271,10.07012045
177,AS,Asia,CYP,Cyprus,2013,All,Age_all,All,92.0,1.74506829,6.31565631,10.6737206
178,AS,Asia,CYP,Cyprus,2014,All,Age_all,All,117.0,2.11229464,7.68203104,13.71362666
179,AS,Asia,CYP,Cyprus,2020,All,Age_all,All,169.0,2.58726271,9.66016758,18.86145979
180,AS,Asia,CYP,Cyprus,2019,All,Age_all,All,206.0,3.28968381,11.47645848,23.39361922
181,AS,Asia,CYP,Cyprus,2018,All,Age_all,All,169.0,2.90727679,9.42410647,19.29446203
182,AS,Asia,CYP,Cyprus,2017,All,Age_all,All,161.0,2.66865573,9.17927683,18.62917074
183,AS,Asia,CYP,Cyprus,2016,All,Age_all,All,130.0,2.37573099,7.90373441,15.29712308
184,AS,Asia,CYP,Cyprus,2015,All,Age_all,All,147.0,2.49702735,9.39932023,17.43530257
185,AS,Asia,CYP,Cyprus,2021,All,Age_all,All,204.0,2.81456954,11.20195608,22.54878662
186,EU,Europe,CZE,Czechia,2010,All,Age_all,All,1080.0,1.01081951,5.66586445,10.26884697
187,EU,Europe,CZE,Czechia,2011,All,Age_all,All,1394.0,1.30465708,7.12562785,13.28039973
188,EU,Europe,CZE,Czechia,2012,All,Age_all,All,1664.0,1.53804915,8.30087313,15.8336161
189,EU,Europe,CZE,Czechia,2013,All,Age_all,All,1578.0,1.44558446,7.38411448,15.01324505
190,EU,Europe,CZE,Czechia,2014,All,Age_all,All,1781.0,1.68551554,8.17758689,16.92196409
191,EU,Europe,CZE,Czechia,2021,All,Age_all,All,2250.0,1.60839511,9.19504625,21.42683688
192,EU,Europe,CZE,Czechia,2020,All,Age_all,All,2033.0,1.57244623,8.21342444,18.99972477
193,EU,Europe,CZE,Czechia,2019,All,Age_all,All,1900.0,1.69096314,7.71142312,17.80806357
194,EU,Europe,CZE,Czechia,2018,All,Age_all,All,1811.0,1.60379029,7.55221981,17.04241217
195,EU,Europe,CZE,Czechia,2017,All,Age_all,All,2112.0,1.89513922,9.0591352,19.94423546
196,EU,Europe,CZE,Czechia,2016,All,Age_all,All,2079.0,1.92946636,9.25333216,19.67765372
197,EU,Europe,CZE,Czechia,2015,All,Age_all,All,2025.0,1.82148543,9.09056811,19.20716248
198,EU,Europe,DNK,Denmark,2010,All,Age_all,All,962.0,1.78059119,8.31930806,17.35265888
199,EU,Europe,DNK,Denmark,2011,All,Age_all,All,814.0,1.55923762,6.77041074,14.62225716
200,EU,Europe,DNK,Denmark,2012,All,Age_all,All,902.0,1.73424852,7.15896456,16.14437582
201,EU,Europe,DNK,Denmark,2013,All,Age_all,All,1013.0,1.94128243,7.94575335,18.06095582
202,EU,Europe,DNK,Denmark,2014,All,Age_all,All,907.0,1.7786755,6.78567887,16.08236155
203,EU,Europe,DNK,Denmark,2020,All,Age_all,All,1409.0,2.59012114,9.11574279,24.19017841
204,EU,Europe,DNK,Denmark,2019,All,Age_all,All,1287.0,2.40259861,8.58687052,22.13817628
205,EU,Europe,DNK,Denmark,2018,All,Age_all,All,1117.0,2.03609187,7.88846785,19.29549171
206,EU,Europe,DNK,Denmark,2017,All,Age_all,All,1028.0,1.9417109,7.29419125,17.84767151
207,EU,Europe,DNK,Denmark,2016,All,Age_all,All,943.0,1.79653267,6.91863173,16.4752964
208,EU,Europe,DNK,Denmark,2015,All,Age_all,All,963.0,1.84397978,7.06898144,16.95915784
209,EU,Europe,DNK,Denmark,2021,All,Age_all,All,1423.0,2.67954657,8.69540247,24.32447447
210,CSA,Central and South America,ECU,Ecuador,2010,All,Age_all,All,2682.0,4.35276552,20.24484101,17.86675835
211,CSA,Central and South America,ECU,Ecuador,2011,All,Age_all,All,2408.0,3.86492039,17.74923518,15.79649911
212,CSA,Central and South America,ECU,Ecuador,2012,All,Age_all,All,2437.0,3.83713058,17.52035571,15.74889553
213,CSA,Central and South America,ECU,Ecuador,2013,All,Age_all,All,2067.0,3.27554513,14.34632357,13.15934058
214,CSA,Central and South America,ECU,Ecuador,2014,All,Age_all,All,2116.0,3.35974341,14.42759256,13.26492743
215,CSA,Central and South America,ECU,Ecuador,2021,All,Age_all,All,2884.0,2.74019459,16.44376033,16.12211214
216,CSA,Central and South America,ECU,Ecuador,2020,All,Age_all,All,2582.0,2.2351882,15.04590962,14.63465452
217,CSA,Central and South America,ECU,Ecuador,2019,All,Age_all,All,2217.0,3.01916084,13.15688714,12.7606949
218,CSA,Central and South America,ECU,Ecuador,2018,All,Age_all,All,2197.0,3.05215193,13.4828987,12.85971647
219,CSA,Central and South America,ECU,Ecuador,2017,All,Age_all,All,2208.0,3.18858579,13.96488004,13.15431941
220,CSA,Central and South America,ECU,Ecuador,2016,All,Age_all,All,2051.0,3.03824845,13.235171,12.43699941
221,CSA,Central and South America,ECU,Ecuador,2015,All,Age_all,All,2064.0,3.1856768,13.7288228,12.73129444
222,AF,Africa,EGY,Egypt,2010,All,Age_all,All,16935.0,3.44481082,24.34730685,20.4624786
223,AF,Africa,EGY,Egypt,2011,All,Age_all,All,18803.0,3.81346221,26.90109121,22.24437051
224,AF,Africa,EGY,Egypt,2012,All,Age_all,All,19192.0,3.62638006,26.21398895,22.20724588
225,AF,Africa,EGY,Egypt,2013,All,Age_all,All,17793.0,3.48074956,23.76376539,20.12677026
226,AF,Africa,EGY,Egypt,2014,All,Age_all,All,19172.0,3.6046809,29.69181321,22.08471
227,AF,Africa,EGY,Egypt,2019,All,Age_all,All,17501.0,3.06722984,22.67677371,17.43334589
228,AF,Africa,EGY,Egypt,2018,All,Age_all,All,18272.0,3.26106356,23.94710472,18.56465357
229,AF,Africa,EGY,Egypt,2017,All,Age_all,All,19763.0,3.61160656,26.03959069,20.49198367
230,AF,Africa,EGY,Egypt,2016,All,Age_all,All,19224.0,3.45663385,25.05611118,20.35425704
231,AF,Africa,EGY,Egypt,2015,All,Age_all,All,20766.0,3.61853283,27.22061013,22.46368223
232,EU,Europe,EST,Estonia,2010,All,Age_all,All,133.0,0.84278563,7.57527714,9.98892206
233,EU,Europe,EST,Estonia,2011,All,Age_all,All,144.0,0.94711918,8.85765894,10.8479561
234,EU,Europe,EST,Estonia,2012,All,Age_all,All,131.0,0.84663608,7.74201176,9.85479598
235,EU,Europe,EST,Estonia,2013,All,Age_all,All,125.0,0.81306101,7.84965537,9.48408836
236,EU,Europe,EST,Estonia,2014,All,Age_all,All,138.0,0.89204913,7.48031001,10.49792894
237,EU,Europe,EST,Estonia,2021,All,Age_all,All,202.0,1.09931973,7.77770686,15.24315473
238,EU,Europe,EST,Estonia,2020,All,Age_all,All,177.0,1.12839475,6.60781318,13.34303279
239,EU,Europe,EST,Estonia,2019,All,Age_all,All,168.0,1.1062821,6.76265705,12.67304745
240,EU,Europe,EST,Estonia,2018,All,Age_all,All,167.0,1.07010124,7.47155667,12.62359024
241,EU,Europe,EST,Estonia,2017,All,Age_all,All,158.0,1.02318353,7.20103553,11.97523098
242,EU,Europe,EST,Estonia,2016,All,Age_all,All,134.0,0.87109146,7.02701903,10.1839998
243,EU,Europe,EST,Estonia,2015,All,Age_all,All,121.0,0.79380699,6.51208024,9.20426469
244,EU,Europe,EST,Estonia,2022,All,Age_all,All,199.0,1.15987644,7.23285146,15.05397493
245,EU,Europe,FIN,Finland,2010,All,Age_all,All,448.0,0.87998429,3.75939128,8.35298522
246,EU,Europe,FIN,Finland,2011,All,Age_all,All,428.0,0.84638507,3.62799131,7.94317733
247,EU,Europe,FIN,Finland,2012,All,Age_all,All,324.0,0.62624427,2.69055537,5.98451673
248,EU,Europe,FIN,Finland,2013,All,Age_all,All,327.0,0.63522281,2.62143331,6.01216553
249,EU,Europe,FIN,Finland,2014,All,Age_all,All,328.0,0.62584671,2.65730531,6.00566345
250,EU,Europe,FIN,Finland,2020,All,Age_all,All,212.0,0.38199575,1.60729755,3.8339519
251,EU,Europe,FIN,Finland,2019,All,Age_all,All,227.0,0.42066639,1.85368992,4.11112311
252,EU,Europe,FIN,Finland,2018,All,Age_all,All,254.0,0.46585845,2.07281837,4.60518264
253,EU,Europe,FIN,Finland,2017,All,Age_all,All,299.0,0.55710825,2.46655492,5.42825727
254,EU,Europe,FIN,Finland,2016,All,Age_all,All,272.0,0.50403973,2.26449775,4.94968202
255,EU,Europe,FIN,Finland,2015,All,Age_all,All,271.0,0.51814462,2.0470449,4.94424317
256,EU,Europe,FIN,Finland,2021,All,Age_all,All,228.0,0.39561355,1.62165272,4.1147681
257,EU,Europe,FRA,France,2010,All,Age_all,All,11097.0,2.0490199,7.68699039,17.63322254
258,EU,Europe,FRA,France,2011,All,Age_all,All,11766.0,2.19258033,7.87732619,18.60989053
259,EU,Europe,FRA,France,2012,All,Age_all,All,11851.0,2.12211614,7.59170367,18.65738698
260,EU,Europe,FRA,France,2013,All,Age_all,All,10966.0,1.9721922,6.84654744,17.19299923
261,EU,Europe,FRA,France,2014,All,Age_all,All,10496.0,1.92722238,6.35643345,16.36688672
262,EU,Europe,FRA,France,2017,All,Age_all,All,11634.0,1.96747594,6.38514646,17.92570696
263,EU,Europe,FRA,France,2016,All,Age_all,All,10508.0,1.81332487,6.00862231,16.24925102
